cafe_id,kakao_name,naver_name,address,latitude,longitude,study_sentiment_score,rating_score,distance_score,raw_final_score,review_confidence,adjusted_final_score,recommend_label,grade,rating,review_count,business_hours,straight_distance_m,study_mention_count,kakao_place_url,naver_map_url,가격대_score,공부 적합성_score,영업시간_score,조용함_score,좌석_score,체류 적합성_score,콘센트_score,혼잡도_score,와이파이_score,is_excluded_type,distance_penalty,presentation_score,presentation_grade,presentation_recommend_label
C005,홀홀베이크샵,홀홀베이크샵,경기 용인시 처인구 명지로 24,37.2339720469395,127.188022667575,50.0,60.0,100,58.5,0.9,52.88,0,보통,0.0,34.0,12:00 ~ 21:00,103,0,http://place.map.kakao.com/189776326,https://map.naver.com/p/entry/place/2025484015,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,0,52.88,보통,0
C059,그카페그커피,그 카페 그 커피,경기 용인시 처인구 중부대로 1113-10,37.2417512234205,127.169830396057,50.0,60.0,45,50.25,1.0,50.25,0,보통,0.0,118.0,10:00 ~ 17:00,1729,0,http://place.map.kakao.com/366346965,https://map.naver.com/p/entry/place/1950683474,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,12,38.25,비추천,0
C091,컴포즈커피 용인상하점,컴포즈커피 용인상하점,경기 용인시 기흥구 중부대로788번길 16,37.25776440471101,127.14113351514196,50.0,60.0,45,50.25,1.0,50.25,0,보통,0.0,676.0,08:30 ~ 21:00,4825,0,http://place.map.kakao.com/61697995,https://map.naver.com/p/entry/place/1660770367,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,12,38.25,비추천,0
C060,카페 오굿,카페 오굿,경기 용인시 처인구 중부대로 1110-1,37.24124603273586,127.1689941426587,50.0,60.0,45,50.25,1.0,50.25,0,보통,0.0,112.0,08:30 ~ 21:30,1768,1,http://place.map.kakao.com/166605907,https://map.naver.com/p/entry/place/1213027633,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,12,38.25,비추천,0
C079,안녕마루,"안녕,마루",경기 용인시 처인구 지삼로 477,37.2362145957173,127.155856283056,50.0,60.0,45,50.25,1.0,50.25,0,보통,0.0,948.0,11:00 ~ 21:00,2757,2,http://place.map.kakao.com/1391702928,https://map.naver.com/p/entry/place/1885770221,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,12,38.25,비추천,0
C085,컴포즈커피 용인초당점,컴포즈커피 용인초당점,경기 용인시 기흥구 동백중앙로 55,37.26116437312856,127.16198728422772,50.0,60.0,45,50.25,1.0,50.25,0,보통,0.0,53.0,07:30 ~ 20:00,3722,2,http://place.map.kakao.com/586514981,https://map.naver.com/p/entry/place/1259903676,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,12,38.25,비추천,0
C032,우지커피 용인역북점,우지커피 용인역북점,경기 용인시 처인구 명지로60번길 8-13,37.2319151294614,127.187347067247,50.0,60.0,100,58.5,0.84,49.37,0,비추천,0.0,24.0,08:00 ~ 22:00,257,2,http://place.map.kakao.com/2081039363,https://map.naver.com/p/entry/place/2074674579,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,0,49.37,비추천,0
C077,와그와그컴퍼니,와그와그컴퍼니,경기 용인시 기흥구 동백죽전대로175번길 17,37.2569023479531,127.160735927331,50.0,60.0,45,50.25,0.92,46.33,0,비추천,0.0,37.0,11:00 ~ 22:00,3426,0,http://place.map.kakao.com/102070006,https://map.naver.com/p/entry/place/1455012300,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,12,34.33,비추천,0
C028,메가번 용인역북점,메가번 용인역북점,경기 용인시 처인구 명지로40번길 9,37.23228922771653,127.18724319267169,50.0,60.0,100,58.5,0.79,46.21,0,비추천,0.0,15.0,10:00 ~ 23:00,215,1,http://place.map.kakao.com/1531416555,https://map.naver.com/p/entry/place/2081597006,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,0,46.21,비추천,0
C044,그레이핍플 역북점,그레이핍플 용인역북점,경기 용인시 처인구 명지로60번길 8-4,37.2309494475099,127.187764998193,50.0,60.0,85,56.25,0.8,44.77,0,비추천,0.0,16.0,09:00 ~ 20:00,369,4,http://place.map.kakao.com/297118119,https://map.naver.com/p/entry/place/2095878008,100.0,50.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,False,3,41.77,비추천,0
C006,달롱도르요거트아이스크림 역북점,달롱도르 요거트 아이스크림 역북점,경기 용인시 처인구 명지로 24,37.2339720469395,127.188022667575,50.0,60.0,100,58.5,0.74,43.06,0,비추천,0.0,6.0,16:00 ~ 02:00,103,1,http://place.map.kakao.com/2082218328,https://map.naver.com/p/entry/place/1889295145,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,0,43.06,비추천,0
C052,아이갓에브리씽 용인교육지원청점,아이갓에브리씽 용인교육지원청점,경기 용인시 처인구 중부대로1161번길 69,37.2425997990649,127.179738959663,50.0,60.0,65,53.25,0.75,39.83,0,비추천,0.0,8.0,08:00 ~ 17:00,1129,0,http://place.map.kakao.com/311652531,https://map.naver.com/p/entry/place/1605546979,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,7,32.83,비추천,0
C058,길과사람,길과사람,경기 용인시 처인구 중부대로 1124-1,37.2405502669698,127.170363029899,50.0,60.0,45,50.25,0.79,39.7,0,비추천,0.0,15.0,,1625,0,http://place.map.kakao.com/601922991,https://map.naver.com/p/entry/place/1117349442,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,12,27.7,비추천,0
C083,커스텀커피 중동직영점,커스텀커피 중동직영점,경기 용인시 기흥구 동백중앙로 53-19,37.2602464708162,127.160473608407,30.0,88.0,45,38.05,1.0,38.05,0,비추천,4.4,425.0,09:30 ~ 18:00,3723,2,http://place.map.kakao.com/1274773574,https://map.naver.com/p/entry/place/1029186063,50.0,50.0,50.0,0.0,100.0,50.0,50.0,50.0,50.0,False,12,26.05,비추천,0
C096,카페베레카,카페베레카 용인상하점,경기 용인시 기흥구 중부대로746번길 8,37.2615704934475,127.139539821406,50.0,60.0,45,50.25,0.74,36.98,0,비추천,0.0,6.0,10:30 ~ 20:00,5180,0,http://place.map.kakao.com/25147607,https://map.naver.com/p/entry/place/1162393198,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,12,24.98,비추천,0
C017,공차 용인역북점,공차 용인역북점,경기 용인시 처인구 명지로16번길 9-23,37.2330994821016,127.188244753013,0.0,88.8,100,23.88,1.0,23.88,0,비추천,4.44,1628.0,10:00 ~ 22:00,171,3,http://place.map.kakao.com/560353,https://map.naver.com/p/entry/place/1742653002,50.0,50.0,100.0,0.0,50.0,50.0,50.0,50.0,50.0,False,0,23.88,비추천,0
C041,카페요시,카페요시,경기 용인시 처인구 명지로40번길 15-15,37.2312881297596,127.186695312565,0.0,85.2,85,21.27,1.0,21.27,0,비추천,4.26,164.0,12:20 ~ 21:00,324,5,http://place.map.kakao.com/598632395,https://map.naver.com/p/entry/place/1597462090,100.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,False,3,18.27,비추천,0
C051,애플하우스,애플하우스,경기 용인시 처인구 금학로 155,37.2403757626326,127.181091718743,0.0,86.6,65,18.41,1.0,18.41,0,비추천,4.33,653.0,10:00 ~ 21:00,858,2,http://place.map.kakao.com/18341425,https://map.naver.com/p/entry/place/31378381,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,False,7,11.41,비추천,0
